akshara,dc,pc,sf,cp
డ,1,10.521496745485935,4,3
స,2,9.561269955622413,2,0
చ్చే,2,20.75752390385339,8,6
చెం,2,15.728317357088244,5,3
బ్బు,2,23.08607817427894,5,3
జు,1,13.021738806237364,4,3
నం,2,14.264712789983276,3,1
ర్డు,2,18.31265479176894,6,4
చి,1,10.542447228965294,4,3
ద్య,2,20.754288855424537,4,2
ధి,2,10.850183253218482,4,3
ఐ,1,9.376693653783438,3,2
క్తి,2,14.30667360625983,5,3
పా,1,12.673263952439251,4,3
దో,1,14.871787997745908,6,4
కూ,1,15.753710277336864,5,4
పం,3,14.869640565932691,4,1
ద్ధి,3,16.44463311908389,5,4
ప్తి,3,16.060001612355585,6,3
ర్త,2,12.080515556466512,4,2
మా,1,16.552660703295466,6,5
క్ర,2,12.193411147995157,3,1
ఖ్య,3,23.01258429712365,6,2
జీ,1,14.071716194733678,5,4
ప్ర,3,13.813169936852452,4,1
డా,1,12.09618584030893,5,4
ఆ,1,10.803739142982726,4,2
న,1,9.235593685070778,2,1
ల్లా,2,17.158341775838647,6,4
పే,2,11.663337206747933,4,2
ట్టి,2,20.83479523664785,9,7
టు,1,13.256824374677514,5,4
ఇం,2,14.8178734286724,5,2
హిం,3,19.9741662676352,7,4
ర్చు,2,19.83867835618305,6,4
ఏ,2,10.115921649117046,3,1
ప్రాం,3,21.66909546091693,6,3
తూ,1,19.514689576760087,7,6
శ్న,2,17.749429696851788,7,3
స్వ,3,19.48097741921006,4,1
కు,1,12.181769576519336,3,2
టే,1,13.999648064937114,6,5
ము,1,16.503653364941353,5,4
జి,1,12.444789584144766,4,3
ర్య,2,19.14767300372933,3,1
స్ప,3,17.623612339372762,4,1
స్థి,5,18.835369207965737,7,2
ర్తి,2,12.201831913625046,4,3
గు,1,11.175501216977969,3,2
ను,1,12.709105050084808,3,2
కే,1,10.860184671731703,3,2
ఒ,1,8.396624464653348,2,1
వృ,2,19.049287596838813,5,3
ది,1,9.689962269610696,3,2
బం,2,14.383432607508585,3,1
దృ,2,18.9469876477665,5,3
కొ,1,12.646639450843312,3,3
ఉం,2,16.050101458283834,6,4
హం,3,18.443950149244795,6,3
