akshara,dc,pc
డ,1,10.521496745485937
స,2,9.561269955622413
చ్చే,2,20.75752390385339
చెం,2,15.728317357088244
బ్బు,2,23.08607817427894
జు,1,13.021738806237364
నం,2,14.264712789983275
ర్డు,2,18.31265479176894
చి,1,10.542447228965294
ద్య,2,20.754288855424537
ధి,2,10.850183253218482
ఐ,1,9.376693653783438
క్తి,2,14.30667360625983
పా,1,12.673263952439253
దో,1,14.871787997745908
కూ,1,15.753710277336864
పం,3,14.869640565932691
ద్ధి,3,16.44463311908389
ప్తి,3,16.060001612355585
ర్త,2,12.080515556466512
మా,1,16.552660703295466
క్ర,2,12.193411147995157
ఖ్య,3,23.01258429712365
జీ,1,14.071716194733678
ప్ర,3,13.813169936852452
డా,1,12.09618584030893
ఆ,1,10.803739142982726
న,1,9.235593685070778
ల్లా,2,17.158341775838647
పే,2,11.663337206747931
ట్టి,2,20.83479523664785
టు,1,13.256824374677514
ఇం,2,14.817873428672401
హిం,3,19.974166267635198
ర్చు,2,19.83867835618305
ఏ,2,10.115921649117046
ప్రాం,3,21.669095460916935
తూ,1,19.514689576760087
శ్న,2,17.749429696851788
స్వ,3,19.48097741921006
కు,1,12.181769576519335
టే,1,13.999648064937114
ము,1,16.503653364941353
జి,1,12.444789584144766
ర్య,2,19.14767300372933
స్ప,3,17.623612339372762
స్థి,5,18.835369207965737
ర్తి,2,12.201831913625046
గు,1,11.175501216977969
ను,1,12.709105050084807
కే,1,10.860184671731703
ఒ,1,8.396624464653348
వృ,2,19.049287596838813
ది,1,9.689962269610696
బం,2,14.383432607508585
దృ,2,18.9469876477665
కొ,1,12.646639450843313
ఉం,2,16.050101458283834
హం,3,18.443950149244795
న్ని,2,18.267677574659565
క్క,2,16.685851226501615
లం,2,13.047989747915492
నా,1,11.227169667702462
గ్ర,2,11.30654089955851
ట్ల,2,15.247885103581996
భా,2,14.363521657722519
లి,1,11.054438653270372
ళ్లు,2,19.381808379040724
ప్ప,3,17.895440785300984
త్ర,2,16.556852375422185
చె,1,10.706334701965156
ట,1,9.818538473336098
ద్ద,2,15.279073957814687
ల్లి,2,16.459951755370724
టూ,1,16.8295371763415
డు,1,13.891766280709014
రం,2,12.885203492963942
చ,1,9.918209327798463
మై,2,18.69476032067782
గం,2,12.693012488044953
సి,2,11.10593613524126
చ్చి,2,19.00752530314768
రా,1,9.789113001283408
లా,1,11.746054109568469
క్రొ,2,16.0920493888967
వు,1,14.087423778515014
నీ,1,11.170849592659822
మూ,1,20.07723094165748
బ,1,9.356863104287903
ల,1,8.02439014043045
ముం,2,21.538116377364503
ట్టూ,2,24.03956751612633
చే,1,12.27591097138411
తి,1,13.452656011160412
దే,1,11.854128125402342
త్యా,2,26.10996178195978
వం,2,14.588064965779001
భ,2,12.858872941705037
చు,1,13.3593413493361
