akshara,sf,cp
ర్చి,5,4
స్త,4,1
టి,6,5
ల్లి,5,3
నే,3,2
ర్తి,4,3
ష్టి,8,5
జి,4,3
కాం,4,2
బో,5,3
త్యా,6,4
ప,3,1
భా,5,3
చ,4,3
చి,4,3
కం,3,1
రం,3,1
న్యా,4,1
ర్త,4,2
కే,3,2
ద్ధి,5,4
మా,6,5
ప్రా,5,3
ధ్య,5,2
గుం,4,2
ప్ర,4,1
మి,4,3
వు,4,2
తి,5,3
ఎ,2,1
ప్తి,6,3
ప్పు,6,2
గ,2,1
కు,3,2
డా,5,4
మ్మ,7,4
గం,3,1
యొ,5,4
త్ర,6,3
శ,4,2
దు,4,3
దృ,5,3
శాం,6,3
గ్ర,3,1
డో,7,5
ద,3,2
ఖ,5,2
స,2,0
బ,2,1
వ,3,2
ప్రే,5,2
సా,3,2
ఖ్య,6,2
కొ,3,3
జ్ఞా,11,8
గొ,4,3
వ్రా,5,3
ర్వం,5,2
టో,7,5
ని,2,1
దీ,4,4
జీ,5,4
ర,2,1
లె,3,2
ల్లా,6,4
ళ్లి,6,4
చెం,5,3
లం,3,1
ఇం,5,2
చ్చి,7,5
ఏం,4,1
తూ,7,6
ది,3,2
ర్చు,6,4
మై,6,4
దా,4,3
రు,3,2
న్ను,6,3
టూ,7,6
పా,4,3
న్న,5,2
ఒ,2,1
గూ,5,4
చూ,7,6
హం,6,3
స్వ,4,1
ఉం,6,4
బ్బు,5,3
వి,3,2
వృ,5,3
ము,5,4
రి,2,1
సి,3,1
గా,3,2
లే,4,3
చా,5,4
మం,5,3
కిం,4,2
మొ,5,4
ల,2,1
త్తు,7,5
కూ,5,4
చె,4,3
చే,5,4
మీ,5,4
ట్లు,7,5
క్ర,3,1
రా,3,2
డ,4,3
వం,4,2
నం,3,1
ళ,4,2
నీ,3,2
వ్వు,6,3
స్థి,7,2
ర్య,3,1
ద్ద,5,3
టు,5,4
మె,4,3
కా,3,2
ప్రాం,6,3
ఎం,3,1
చ్చే,8,6
యా,6,5
ఆ,4,2
వ్య,4,2
ల్లు,5,3
మ,4,3
డు,5,4
బా,4,3
వా,4,3
ఏ,3,1
త్రం,6,3
బ్దం,5,2
వ్యా,5,3
ముం,6,4
క్రొ,5,3
ట,4,3
శ్ర,5,2
మూ,7,6
స్ప,4,1
దే,4,3
క,2,1
తం,5,3
త,4,3
లి,3,2
ష్టం,8,4
త్త,6,4
దో,6,4
పే,4,2
రెం,3,1
ఐ,3,2
వే,4,3
న,2,1
న్ని,5,2
పె,3,1
భ,4,2
కో,5,3
నుం,4,2
కొం,5,3
అం,4,2
క్రిం,5,2
ర్పు,5,3
ట్లో,9,6
ట్టి,9,7
ర్డు,6,4
హిం,7,4
టం,5,3
చు,5,4
పం,4,1
డె,4,3
దూ,6,5
అ,3,2
ర్లు,5,3
క్క,4,2
ఇ,4,2
ళ్లు,7,5
ద్య,4,2
ట్ల,6,4
క్తం,5,2
నా,3,2
ద్వా,6,4
జు,4,3
గు,3,2
ట్టూ,10,8
శ్న,7,3
స్తే,5,2
లా,4,3
ధి,4,3
ప్ప,5,2
లు,3,2
డి,5,4
క్తి,5,3
యం,5,3
ను,3,2
న్నీ,6,3
బం,3,1
టే,6,5
పూ,6,3
ధ,4,2
