word,on,pc,dc,sf,cp,syllable_structure,syllable_breakup,cluster
చుట్టూ,24,32.21591505141188,4,15,12,C1V.C1C1V,చు.ట్టూ,complex
స్వయం,7,31.56843921295688,4,9,4,C1C2V.C1Vm,స్వ.యం,moderate
చేసి,88,23.3615000645196,3,8,5,C1V.C1V,చే.సి,moderate
అను,198,23.686127759323497,2,6,4,V.C1V,అ.ను,simple
ఇదే,62,21.63708481862649,2,8,5,V.C1V,ఇ.దే,simple
ప్రతి,127,27.26796115303153,4,9,4,C1C2V.C1V,ప్ర.తి,moderate
నేను,87,24.11416811906073,2,6,4,C1V.C1V,నే.ను,simple
వ్యాధి,23,32.490706061875265,4,9,6,C1C2V.C1V,వ్యా.ధి,moderate
ముఖ్య,68,27.25300607476041,4,11,6,C1V.C1C2V,ము.ఖ్య,complex
ఎన్ని,66,26.029350598005696,3,7,3,V.C1C1V,ఎ.న్ని,simple
చర్య,38,29.06469666224746,3,7,4,C1V.C1C2V,చ.ర్య,moderate
బోర్డు,29,35.11943608739794,3,11,7,C1V.C1C2V,బో.ర్డు,complex
మత,191,25.35584441533971,2,8,6,C1V.C1V,మ.త,moderate
కళ్లు,157,28.142894112798466,3,9,6,C1V.C1C2V,క.ళ్లు,moderate
పెళ్లి,40,26.42617879760176,4,9,5,C1V.C1C2V,పె.ళ్లి,moderate
హిందీ,9,29.32483192837676,4,11,8,C1Vm.C1V,హిం.దీ,complex
కాలం,71,23.91016259017346,3,6,3,C1V.C1Vm,కా.లం,simple
విని,114,19.26369540758746,2,5,3,C1V.C1V,వి.ని,simple
పెద్ద,50,25.37254841954112,4,8,4,C1V.C1C1V,పె.ద్ద,moderate
స్థితి,104,32.16028770273764,6,12,5,C1C2V.C1V,స్థి.తి,complex
ఎత్తు,75,28.30282934768336,3,9,6,V.C1C1V,ఎ.త్తు,moderate
ఆమె,71,24.413925154890293,2,8,5,V.C1V,ఆ.మె,simple
రాజు,83,22.783389663173764,2,7,5,C1V.C1V,రా.జు,simple
త్యాగం,1,32.71075201743342,4,9,5,C1C2V.C1Vm,త్యా.గం,moderate
కానీ,75,21.58429593543102,2,6,4,C1V.C1V,కా.నీ,simple
నిన్ను,74,30.662738241851777,3,8,4,C1V.C1C1V,ని.న్ను,moderate
అంటూ,36,26.26509371929826,3,11,8,Vm.C1V,అం.టూ,complex
ఐదు,73,22.296208267353904,2,7,5,V.C1V,ఐ.దు,simple
గ్రహం,3,30.14083997522644,5,9,4,C1C2V.C1Vm,గ్ర.హం,moderate
పద,144,19.302654455321417,3,6,3,C1V.C1V,ప.ద,simple
మూడు,154,24.25774949137676,2,12,10,C1V.C1V,మూ.డు,complex
