akshara,dc,pc,sf,cp
అ,1,12.089158,3,2
ఆ,1,10.43555,4,2
ఇ,1,10.133217,4,2
ఈ,1,15.638364,5,4
ఉ,1,11.137752,5,5
ఊ,1,17.330732,8,7
ఋ,1,18.132149,4,3
ౠ,1,22.326336,6,5
ఎ,1,7.661644,2,1
ఏ,2,10.381762,3,1
ఐ,1,9.982764,3,2
ఒ,1,8.166392,2,1
ఓ,1,9.071643,3,2
ఔ,1,14.517416,5,4
అం,2,19.429246,4,2
అః,3,17.422527,5,2
క,1,9.914682,2,1
క్ష,2,16.46445,5,3
ఖ,2,10.925946,5,2
గ,1,9.032038,2,1
ఘ,3,15.607939,5,2
ఙ,1,9.93874,4,3
చ,1,10.906598,4,3
ఛ,2,12.099206,5,3
జ,1,10.742566,3,2
ఝ,2,18.353268,5,3
ఞ,1,11.927885,6,4
ట,1,10.172423,4,3
ఠ,2,9.823404,3,1
డ,1,11.235211,4,3
ఢ,2,12.424087,5,3
ణ,1,10.411761,4,3
త,1,10.855859,5,4
థ,3,12.132155,5,2
ద,1,10.089629,3,2
ధ,2,11.254125,4,2
న,1,10.147785,2,1
ప,2,10.34638,3,1
ఫ,3,11.548807,4,1
బ,1,9.936604,2,1
భ,2,12.890877,4,2
మ,1,14.410231,4,3
య,1,17.284574,4,3
ర,1,8.919543,2,1
ఱ,1,11.56819,4,3
ల,1,8.75533,2,1
ళ,1,11.073692,4,3
వ,1,10.322278,3,2
శ,1,9.618535,4,2
ష,2,11.144725,4,2
స,2,10.2816,2,0
హ,2,14.271998,5,3
