word,on,pc,dc
చుట్టూ,24,32.21591505141188,4
స్వయం,7,31.568439212956882,4
చేసి,88,23.361500064519596,3
అను,198,23.686127759323497,2
ఇదే,62,21.637084818626498,2
ప్రతి,127,27.26796115303153,4
నేను,87,24.114168119060732,2
వ్యాధి,23,32.490706061875265,4
ముఖ్య,68,27.253006074760414,4
ఎన్ని,66,26.029350598005696,3
చర్య,38,29.06469666224746,3
బోర్డు,29,35.11943608739794,3
మత,191,25.35584441533971,2
కళ్లు,157,28.142894112798462,3
పెళ్లి,40,26.42617879760176,4
హిందీ,9,29.324831928376756,4
కాలం,71,23.91016259017346,3
విని,114,19.26369540758746,2
పెద్ద,50,25.37254841954112,4
స్థితి,104,32.16028770273764,6
ఎత్తు,75,28.302829347683357,3
ఆమె,71,24.413925154890293,2
రాజు,83,22.783389663173764,2
త్యాగం,1,32.71075201743342,4
కానీ,75,21.58429593543102,2
నిన్ను,74,30.662738241851777,3
అంటూ,36,26.26509371929826,3
ఐదు,73,22.296208267353904,2
గ్రహం,3,30.14083997522644,5
పద,144,19.302654455321417,3
మూడు,154,24.257749491376753,2
పడి,201,21.718961487524474,3
వ్యాప్తి,19,36.019020989745414,6
బట్టి,100,30.171507946480453,3
ఇట్టి,101,30.619402222301588,3
బంతి,122,27.8390619407206,3
రెండు,122,25.99848539092952,4
పూర్వం,31,30.7458500535389,5
నువ్వు,41,28.494850217521428,3
డబ్బు,30,30.829528720596716,4
రక్తం,36,25.88785942379032,4
తమ,112,25.35765289894695,2
అంటే,40,30.38944817617723,3
ఇంట్లో,26,34.43310729116248,5
ఒక్క,94,25.08151977795084,3
నుంచి,59,25.151289823193245,4
పేర్లు,43,28.43530702347296,4
చూసి,70,28.788465617827143,3
ఇది,113,19.47337234870183,2
నన్ను,92,30.42888012126824,3
మొక్క,77,29.414952241617787,4
ఖర్చు,32,32.4324861814626,4
ప్రాయం,18,29.071216705440666,3
పేజీ,39,25.72954215237068,3
కింది,62,24.7612194741287,3
వ్యక్తి,14,35.13485194671712,4
మైనా,21,29.47249130203282,3
మార్చి,70,28.35679927136222,4
పని,151,19.339291846069806,3
భార్య,21,32.575743576914164,6
వ్రాత,113,27.881461739133808,3
క్రమం,6,30.781792783512735,4
చెంది,67,25.416954084294204,3
ఏంటో,3,28.061294167485247,4
మార్పు,72,24.898933151127313,2
గదా,91,19.103526046453283,2
భర్త,21,24.96866797577826,4
తల,162,20.35822822220515,2
అంత,142,28.629542784092603,3
వేల,134,19.7268671944108,2
పంట,119,24.6843261447217,4
అందు,103,25.69970948564246,3
ఇక,137,18.531334177483647,2
ఆట,154,20.62230902616157,2
